frame.time_epoch,frame.time_delta,frame.len,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.len,label
"1765647655.241071306","0.001688106","98","1",,,,,0
"1765647656.241913128","1.000841822","98","1",,,,,0
"1765647656.243623073","0.001709945","98","1",,,,,0
"1765647657.237902789","0.994279716","60",,,,,,0
"1765647657.237917438","0.000014649","42",,,,,,0
"1765647657.243380228","0.005462790","98","1",,,,,0
"1765647657.245818226","0.002437998","98","1",,,,,0
"1765647743.156209937","85.910391711","74","6","33894","80","0x0002","0",0
"1765647743.163761107","0.007551170","60",,,,,,0
"1765647743.163786225","0.000025118","42",,,,,,0
"1765647743.166804531","0.003018306","74","6","80","33894","0x0012","0",0
"1765647743.166835484","0.000030953","66","6","33894","80","0x0010","0",0
"1765647743.167934320","0.001098836","138","6","33894","80","0x0018","72",0
"1765647743.170045179","0.002110859","66","6","80","33894","0x0010","0",0
"1765647743.187310875","0.017265696","1133","6","80","33894","0x0018","1067",0
"1765647743.187358819","0.000047944","66","6","33894","80","0x0010","0",0
"1765647743.194339671","0.006980852","66","6","33894","80","0x0011","0",0
"1765647743.196514600","0.002174929","66","6","80","33894","0x0011","0",0
"1765647743.196535817","0.000021217","66","6","33894","80","0x0010","0",0
"1765647746.817442559","3.620906742","74","6","33906","80","0x0002","0",0
"1765647746.819202850","0.001760291","74","6","80","33906","0x0012","0",0
"1765647746.819417580","0.000214730","66","6","33906","80","0x0010","0",0
"1765647746.820606780","0.001189200","138","6","33906","80","0x0018","72",0
"1765647746.822136869","0.001530089","66","6","80","33906","0x0010","0",0
"1765647746.844067542","0.021930673","1133","6","80","33906","0x0018","1067",0
"1765647746.844117925","0.000050383","66","6","33906","80","0x0010","0",0
"1765647746.847329556","0.003211631","66","6","33906","80","0x0011","0",0
"1765647746.849382170","0.002052614","66","6","80","33906","0x0011","0",0
"1765647746.849409597","0.000027427","66","6","33906","80","0x0010","0",0
"1765647754.899880704","8.050471107","74","6","44978","21","0x0002","0",0
"1765647754.902616451","0.002735747","74","6","21","44978","0x0012","0",0
"1765647754.902783942","0.000167491","66","6","44978","21","0x0010","0",0
"1765647754.907524757","0.004740815","86","6","21","44978","0x0018","20",0
"1765647754.907590171","0.000065414","66","6","44978","21","0x0010","0",0
"1765647764.031403043","9.123812872","80","6","44978","21","0x0018","14",0
"1765647764.033906426","0.002503383","66","6","21","44978","0x0010","0",0
"1765647764.035352407","0.001445981","100","6","21","44978","0x0018","34",0
"1765647764.035390598","0.000038191","66","6","44978","21","0x0010","0",0
"1765647769.178337670","5.142947072","81","6","44978","21","0x0018","15",0
"1765647769.214856577","0.036518907","66","6","21","44978","0x0010","0",0
"1765647772.214482251","2.999625674","88","6","21","44978","0x0018","22",0
"1765647772.214518706","0.000036455","66","6","44978","21","0x0010","0",0
"1765647780.055717727","7.841199021","72","6","44978","21","0x0018","6",0
"1765647780.058191941","0.002474214","66","6","21","44978","0x0010","0",0
"1765647780.060532583","0.002340642","104","6","21","44978","0x0018","38",0
"1765647780.060577159","0.000044576","66","6","44978","21","0x0010","0",0
"1765647780.061747771","0.001170612","72","6","44978","21","0x0018","6",0
"1765647780.064398855","0.002651084","104","6","21","44978","0x0018","38",0
"1765647780.065159479","0.000760624","89","6","44978","21","0x0018","23",0
"1765647780.067265821","0.002106342","104","6","21","44978","0x0018","38",0
"1765647780.110788809","0.043522988","66","6","44978","21","0x0010","0",0
"1765647785.246100540","5.135311731","72","6","44978","21","0x0018","6",0
"1765647785.248757449","0.002656909","80","6","21","44978","0x0018","14",0
"1765647785.248781495","0.000024046","66","6","44978","21","0x0010","0",0
"1765647785.250079614","0.001298119","66","6","21","44978","0x0011","0",0
"1765647785.251431132","0.001351518","66","6","44978","21","0x0011","0",0
